t,H-Concentration,OH-Concentration,O2-Concentration,HO2-Concentration,C-Concentration,CH-Concentration,CH3-Concentration,C3H7-Concentration,H-Reaction_rate,OH-Reaction_rate,O2-Reaction_rate,HO2-Reaction_rate,C-Reaction_rate,CH-Reaction_rate,CH3-Reaction_rate,C3H7-Reaction_rate,T
1.1969999999999688e-13,1.4511755664931316,0.462992386797798,0.01672794067571665,2.2517758659253833,1.426216417616384,0.6499429736875723,0.04272768020801761,1.2937043094960092,-2111640706212.7488,-2077113173904.4578,-742813639650.418,1781370226602.647,-3692246398732.163,4273460789076.371,-764865337137.9882,61216982264.59324,1000.0
1.1979999999999687e-13,1.4509643304658686,0.4627847686616893,0.016653799646937053,2.2519538160222172,1.4258471423066106,0.6503703219042415,0.04265126915695569,1.2937104222107312,-2113075951844.7305,-2075250725679.561,-740007612940.2025,1777632975779.983,-3693258692617.318,4273502854598.4243,-763359162347.3022,61038333455.398674,1000.0
1.1989999999999687e-13,1.450752951213914,0.4625773366476671,0.016579938812023888,2.2521313928641415,1.4254777661958233,0.6507976739848537,0.04257500856650357,1.2937165170842735,-2114505004497.826,-2073390781307.3623,-737209719686.4115,1773905110340.0928,-3694262436489.8384,4273538097432.939,-761856319650.9124,60860219569.270424,1000.0
1.1999999999999686e-13,1.450541429355807,0.4623700905055409,0.016506357358220515,2.252308597389008,1.4251082901381968,0.6512250292478011,0.042498898103756344,1.2937225941700823,-2115927881447.0332,-2071533336301.4382,-734419947442.7666,1770186615593.4858,-3695257647817.0156,4273566531753.169,-760356800620.7375,60682638894.86135,1000.0
1.2009999999999686e-13,1.4503297655083902,0.4621630299855614,0.016433054474022504,2.252485430533196,1.4247387149861561,0.6516523870128992,0.04242293743662239,1.2937286535214412,-2117344599923.9575,-2069678386185.3467,-731638283739.513,1766477476832.1863,-3696244344075.672,4273588171747.9346,-758860596853.3042,60505589727.01369,1000.0
1.2019999999999685e-13,1.450117960286816,0.4619561548384191,0.016360029349180433,2.252661893231609,1.4243690415903747,0.6520797466013878,0.042347126233819976,1.293734695191473,-2118755177116.962,-2067825926492.596,-728864716083.5613,1762777679329.8594,-3697222542752.05,4273603031621.497,-757367699969.6338,60329070366.72897,1000.0
1.2029999999999685e-13,1.44990601430455,0.46174946481524287,0.016287281174702732,2.2528379864176746,1.423999270799774,0.6525071073359339,0.04227146416487374,1.2937407192331398,-2120159630171.2925,-2065975952766.6152,-726099231958.6348,1759087208341.9424,-3698192261341.675,4273611125593.3916,-755878101615.1306,60153079121.13794,1000.0
1.2039999999999684e-13,1.4496939281733783,0.46154295966759895,0.016214809142858493,2.253013711023341,1.4236294034615211,0.652934468540633,0.042195950900111315,1.2937467256992452,-2121557976189.215,-2064128460560.727,-723341818825.4144,1755406049105.7778,-3699153517349.223,4273612467898.2817,-754391793459.4712,59977614303.47076,1000.0
1.2049999999999684e-13,1.449481702503412,0.4613366391474895,0.016142612447180297,2.253189067979074,1.4232594404210288,0.6533618295410115,0.04212058611065981,1.2937527146424337,-2122950232230.1653,-2062283445438.1184,-720592464121.6896,1751734186840.7488,-3700106328288.41,4273607072785.8203,-752908767196.492,59802674233.02714,1000.0
1.2059999999999683e-13,1.4492693379030925,0.46113050300735164,0.016070690282467038,2.253364058213856,1.4228893825219535,0.6537891896640285,0.042045369468442416,1.2937586861151924,-2124336415310.8743,-2060440902971.8115,-717851155262.5063,1748071606748.412,-3701050711681.8433,4273594954520.481,-751429014544.0786,59628257235.146935,1000.0
1.2069999999999683e-13,1.4490568349791975,0.4609245510000558,0.01599904184478675,2.253538682655184,1.4225192306061933,0.654216548238078,0.04197030064617493,1.2937646401698517,-2125716542405.51,-2058600828744.6338,-715117879640.3207,1744418294012.6377,-3701986685060.895,4273576127381.4087,-749952527244.0555,59454361641.18054,1000.0
